Degree Name,Guaranteed ATAR (2025/2026 Approx.),Prerequisites / Admission Requirements,Duration (Years)
Bachelor of Engineering Honours (Aeronautical) and Bachelor of Science (Health),85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Aeronautical) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Biomedical),90.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Biomedical) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Biomedical) and Bachelor of Arts,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Biomedical) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Biomedical) and Bachelor of Project Management,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Biomedical) and Bachelor of Science,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Biomedical) and Bachelor of Science (Health),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Biomedical) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Chemical and Biomolecular),85.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Chemical and Biomolecular) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Chemical and Biomolecular) and Bachelor of Arts,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Chemical and Biomolecular) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Chemical and Biomolecular) and Bachelor of Project Management,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Chemical and Biomolecular) and Bachelor of Science,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Chemical and Biomolecular) and Bachelor of Science (Health),85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Chemical and Biomolecular) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Civil),85.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Civil) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Civil) and Bachelor of Arts,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Civil) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Civil) and Bachelor of Project Management,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Civil) and Bachelor of Science,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Civil) and Bachelor of Science (Health),85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Civil) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Electrical),85.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Electrical) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Electrical) and Bachelor of Arts,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Electrical) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Electrical) and Bachelor of Project Management,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Electrical) and Bachelor of Science,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Electrical) and Bachelor of Science (Health),85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Electrical) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechanical),85.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Mechanical) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Mechanical) and Bachelor of Arts,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechanical) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechanical) and Bachelor of Project Management,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechanical) and Bachelor of Science,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechanical) and Bachelor of Science (Health),85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechanical) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechatronic),85.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Mechatronic) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Mechatronic) and Bachelor of Arts,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechatronic) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechatronic) and Bachelor of Project Management,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechatronic) and Bachelor of Science,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechatronic) and Bachelor of Science (Health),85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Mechatronic) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Software),90.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Software) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Software) and Bachelor of Arts,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Software) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Software) and Bachelor of Project Management,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Software) and Bachelor of Science,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Software) and Bachelor of Science (Health),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Software) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Space),90.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Space) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Space) and Bachelor of Arts,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Space) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Space) and Bachelor of Project Management,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Space) and Bachelor of Science,90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Space) and Bachelor of Science (Health),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Space) and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Engineering Honours and Bachelor of Laws,99.50,Mathematics Extension 1,6.5
Bachelor of Global Studies,85.00,None,3
Bachelor of Health Sciences and Master of Nursing,80.00,None,4
Bachelor of Liberal Arts and Sciences,70.00,None,3
Bachelor of Music,70.00,Audition / Portfolio,4
Bachelor of Music (Composition),70.00,Audition / Portfolio,4
Bachelor of Music (Music Education),70.00,Audition / Portfolio,4
Bachelor of Music (Performance),70.00,Audition / Portfolio,4
Bachelor of Nursing (Advanced Studies),80.00,None,3
Bachelor of Oral Health,83.00,None,3
Bachelor of Pharmacy,85.00,Mathematics Advanced,4
Bachelor of Pharmacy and Management,85.00,Mathematics Advanced,5
Bachelor of Project Management,80.00,Mathematics Advanced,3
Bachelor of Project Management and Bachelor of Arts,80.00,Mathematics Advanced,4
Bachelor of Project Management and Bachelor of Science,80.00,Mathematics Advanced,4
Bachelor of Psychology,85.00,None,3
Bachelor of Psychology Honours,96.00,None,4
Bachelor of Science,80.00,None,3
Bachelor of Science (Dalyell Scholars),98.00,None,3
Bachelor of Science (Health),80.00,None,3
Bachelor of Science (Medical Science),90.00,None,3
Bachelor of Science and Bachelor of Advanced Studies,80.00,None,4
Bachelor of Science and Bachelor of Advanced Studies (Agriculture),85.00,None,4
Bachelor of Science and Bachelor of Advanced Studies (Animal and Veterinary Bioscience),80.00,Mathematics Advanced,4
Bachelor of Science and Bachelor of Advanced Studies (Food and Agribusiness),80.00,None,4
Bachelor of Science and Bachelor of Advanced Studies (Health),80.00,None,4
Bachelor of Science and Bachelor of Advanced Studies (Medical Science),90.00,None,4
Bachelor of Science and Bachelor of Advanced Studies (Taronga Wildlife Conservation),85.00,None,4
Bachelor of Science and Bachelor of Laws,99.50,None,5
Bachelor of Science and Doctor of Dental Medicine,99.60,UCAT ANZ and Interview,7
Bachelor of Science and Doctor of Medicine,99.95,Assessment and Interview,7
Bachelor of Science and Master of Nursing,80.00,None,4
Bachelor of Social Work,80.00,None,4
Bachelor of Veterinary Biology and Doctor of Veterinary Medicine,98.00,Mathematics Advanced,6
Bachelor of Visual Arts,70.00,Portfolio,3
Bachelor of Visual Arts and Bachelor of Advanced Studies,70.00,Portfolio,4
